Defecator,Class,Order,Family,Genus,Species,CommonName,PreyGroup,FOO,wPOO
Cougar,Mammalia,Lagomorpha,Leporidae,Lepus,Lepus townsendii,White-tailed jackrabbit,MammalsMedium,1.92,2.00
Cougar,Mammalia,Rodentia,Erethizontidae,Erethizon,Erethizon dorsatum,North American porcupine,MammalsMedium,3.85,4.00
Cougar,Mammalia,Rodentia,Sciuridae,Callospermophilus,Callospermophilus lateralis,Golden-mantled ground squirrel,MammalsMedium,4.81,4.50
Cougar,Mammalia,Rodentia,Sciuridae,Marmota,Marmota flaviventris,Yellow-bellied marmot,MammalsMedium,1.92,2.00
Cougar,Mammalia,Rodentia,Sciuridae,Sciurus,Sciurus griseus,Grey squirrel,MammalsMedium,0.96,0.50
Cougar,Mammalia,Rodentia,Sciuridae,Tamias,Tamias amoenus,Yellow-pine chipmunk,MammalsSmall,0.96,0.50
Coyote,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus sp.,Trout species,Fishes,2.36,2.29
Coyote,Actinopterygii,Salmoniformes,Salmonidae,Salvelinus,Salvelinus sp.,Trout species,Fishes,4.42,3.34
Coyote,Amphibia,Anura,Hylidae,Pseudacris,Pseudacris sierra,Sierran tree frog,Amphibians,0.29,0.19
Coyote,Amphibia,Anura,Ranidae,Rana,Rana muscosa,Mountain yellow-legged frog,Amphibians,0.79,0.81
Coyote,Aves,Galliformes,Odontophoridae,Oreortyx,Oreortyx pictus,Mountain quail,BirdsMedium,0.49,0.31
Coyote,Aves,Galliformes,Phaisianidae,Dendragapus,Dendragapus fuliginosus,Sooty grouse,BirdsMedium,1.86,1.93
Coyote,Aves,Galliformes,Phaisianidae,Gallus,Gallus gallus,Chicken,BirdsMedium,0.49,0.40
Coyote,Aves,Galliformes,Phaisianidae,Lagopus,Lagopus leucura,White-tailed ptarmigan,BirdsMedium,0.29,0.21
Coyote,Aves,Passeriformes,Alaudidae,Eremophila,Eremophila alpestris,Horned lark,BirdsSmall,0.10,0.07
Coyote,Aves,Passeriformes,Corvidae,Cyanocitta,Cyanocitta stelleri,Steller's jay,BirdsSmall,0.29,0.21
Coyote,Aves,Passeriformes,Paridae,Poecile,Poecile atricapillus,Black-capped chickadee,BirdsSmall,0.10,0.07
Coyote,Aves,Passeriformes,Passerellidae,Junco,Junco hyemalis,Dark-eyed junco,BirdsSmall,2.16,1.71
Coyote,Aves,Passeriformes,Passerellidae,Pipilo,Pipilo maculatus,Spotted towhee,BirdsSmall,0.49,0.33
Coyote,Aves,Passeriformes,Sittidae,Sitta,Sitta sp.,Nuthatch species,BirdsSmall,0.20,0.12
Coyote,Aves,Passeriformes,Turdidae,Turdus,Turdus sp.,Thrush species,BirdsSmall,0.29,0.15
Coyote,Aves,Passeriformes,Tyrannidae,Sayornis,Sayornis phoebe,Eastern phoebe,BirdsSmall,0.10,0.14
Coyote,Aves,Piciformes,Picidae,Colaptes,Colaptes auratus,Northern flicker,BirdsMedium,0.10,0.14
Coyote,Aves,Strigiformes,Strigidae,Asio,Asio otus,Long-eared owl,BirdsLarge,0.10,0.07
Coyote,Mammalia,Artiodactyla,Cervidae,Odocoileus,Odocoileus hemionus,Mule deer,MammalsLarge,18.94,21.21
Coyote,Mammalia,Artiodactyla,Suidae,Sus,Sus scrofa,Wild boar,MammalsLarge,0.20,0.12
Coyote,Mammalia,Carnivora,Canidae,Vulpes,Vulpes vulpes,Red fox,MammalsMedium,0.39,0.26
Coyote,Mammalia,Carnivora,Felidae,Lynx,Lynx rufus,Bobcat,MammalsMedium,0.10,0.14
Coyote,Mammalia,Carnivora,Felidae,Puma,Puma concolor,Puma,MammalsLarge,0.10,0.07
Coyote,Mammalia,Carnivora,Mustelidae,Martes,Martes caurina,Pacific marten,MammalsMedium,0.39,0.32
Coyote,Mammalia,Carnivora,Mustelidae,Neogale,Neogale frenata,Long-tailed weasel,MammalsMedium,0.10,0.14
Coyote,Mammalia,Carnivora,Mustelidae,Neogale,Neogale vison,Mink,MammalsMedium,0.10,0.14
Coyote,Mammalia,Carnivora,Ursidae,Ursus,Ursus americanus,American black bear,MammalsLarge,0.10,0.07
