"labid.y","speciesid_osu","speciessimpleidgroomed.y","species","genus","family","order","class","phylum","reps","numreads","totalreads","pidmatch","lineage","scatseason"
"YOS1151","Canis latrans","Odocoileus sp.","","Odocoileus","Cervidae","Artiodactyla","Mammalia","Chordata",9,25380,8460,99.3266666666667,"Chordata,Mammalia,Artiodactyla,Cervidae,Odocoileus,","summer"
"YOS1153","Lynx rufus","Lepus townsendii","Lepus townsendii","Lepus","Leporidae","Lagomorpha","Mammalia","Chordata",3,748,748,100,"Chordata,Mammalia,Lagomorpha,Leporidae,Lepus,Lepus townsendii","summer"
"YOS1153","Lynx rufus","Marmota flaviventris","Marmota flaviventris","Marmota","Sciuridae","Rodentia","Mammalia","Chordata",3,748,748,100,"Chordata,Mammalia,Rodentia,Sciuridae,Marmota,Marmota flaviventris","summer"
"YOS1154","Canis latrans","Marmota flaviventris","Marmota flaviventris","Marmota","Sciuridae","Rodentia","Mammalia","Chordata",3,12562,12562,100,"Chordata,Mammalia,Rodentia,Sciuridae,Marmota,Marmota flaviventris","summer"
"YOS1157","Canis latrans","Lepus americanus","Lepus americanus","Lepus","Leporidae","Lagomorpha","Mammalia","Chordata",3,30821,30821,97.98,"Chordata,Mammalia,Lagomorpha,Leporidae,Lepus,Lepus americanus","summer"
"YOS1157","Canis latrans","Marmota flaviventris","Marmota flaviventris","Marmota","Sciuridae","Rodentia","Mammalia","Chordata",3,30821,30821,100,"Chordata,Mammalia,Rodentia,Sciuridae,Marmota,Marmota flaviventris","summer"
"YOS1159","Canis latrans","Odocoileus sp.","","Odocoileus","Cervidae","Artiodactyla","Mammalia","Chordata",15,129825,25965,98.39,"Chordata,Mammalia,Artiodactyla,Cervidae,Odocoileus,","summer"
"YOS1159","Canis latrans","Salvelinus sp.","","Salvelinus","Salmonidae","Salmoniformes","Actinopterygii","Chordata",3,25965,25965,100,"Chordata,Actinopterygii,Salmoniformes,Salmonidae,Salvelinus,","summer"
"YOS1160","Canis latrans","Microtus montanus","Microtus montanus","Microtus","Cricetidae","Rodentia","Mammalia","Chordata",6,5376,2688,98.99,"Chordata,Mammalia,Rodentia,Cricetidae,Microtus,Microtus montanus","summer"
"YOS1160","Canis latrans","Microtus sp.","","Microtus","Cricetidae","Rodentia","Mammalia","Chordata",3,2688,2688,97,"Chordata,Mammalia,Rodentia,Cricetidae,Microtus,","summer"
